"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","485","test_has_title[chromium]","","Sat Apr 12 18:07:25 CEST 2025","passed","Sat Apr 12 18:07:26 CEST 2025","","test_example","",""
"","629","test_get_started_link[chromium]","","Sat Apr 12 18:07:26 CEST 2025","passed","Sat Apr 12 18:07:27 CEST 2025","","test_example","",""
